prescription_name,Acute Kidney Failure,Chronic Kidney Disease,Diabetes,Heart Attack,Asthma,Liver Disease,Hypertension,Pneumonia
Hydrocortisone Na Succ,20,20,7,3,4,1,15,3
Carbamide Peroxide 6.5%,20,15,17,1,7,4,20,8
Dipyridamole,20,14,25,9,3,2,19,6
Nystatin-Triamcinolone Cream,20,13,14,6,1,4,7,8
Magnesium Sulfate (Latex Free),20,12,32,6,10,4,31,5
Debrox 6.5%,20,10,18,5,6,1,24,6
Amiloride HCl,20,6,23,1,3,11,27,9
Danazol,20,6,11,2,7,0,16,16
Phenobarbital Sodium,20,2,12,5,4,1,32,11
Syringe (Intrathecal),20,0,16,1,0,0,26,7
Stavudine,19,36,59,4,8,8,30,22
Moexipril,19,17,38,8,6,0,39,2
Nevirapine,19,14,32,11,8,4,21,11
MEMAntine,19,12,17,1,1,0,13,5
Pulmicort,19,9,24,10,20,0,27,9
Divalproex Sodium ER,18,14,24,3,9,0,20,9
Carbidopa-Levodopa CR (25-100),18,14,15,8,2,0,27,11
Sodium Chloride 3% Inhalation Soln,18,11,19,2,12,5,28,13
Bethanechol,18,8,34,8,3,0,34,5
Fentanyl,18,8,19,6,7,2,16,5
Desonide 0.05% Cream,18,7,11,3,3,7,4,8
Digoxin Immune Fab,18,6,15,4,1,4,10,4
Bactrim Desensitization,18,6,0,0,0,0,0,6
Heparin ,18,5,14,4,3,1,18,5
Entacapone,18,4,2,4,0,3,22,7
Maalox/Benadryl/Lidocaine,18,3,22,13,6,3,16,5
Neomycin Sulfate,18,1,20,2,5,20,38,9
Heparin Flush CVL  (100 units/ml) ,18,0,16,2,0,4,7,8
Insulin Human NPH,18,0,6,1,0,0,3,3
Flucytosine,18,0,4,0,2,0,15,0
Chlorpromazine HCl,18,0,3,4,1,9,8,10
Tretinoin,18,0,3,0,0,3,18,2
Syringe (SW),17,24,17,0,10,8,16,9
Capsaicin 0.025%,17,13,22,3,6,7,18,8
Tobramycin-Dexamethasone Ophth Oint,17,12,29,1,3,3,25,10
Cilostazol,17,11,26,8,0,0,23,8
Hydroxyurea Suspension,17,10,3,5,0,0,7,8
multi,17,9,18,5,2,7,16,12
Chlordiazepoxide HCl,17,7,13,5,9,26,40,17
Dakins 1/2 Strength,17,6,28,4,1,0,23,3
Ibutilide Fumarate,17,6,13,9,4,3,22,14
Pyrazinamide,17,2,18,3,4,1,17,6
Butalbital-Acet-Caffeine,17,1,27,9,14,0,43,6
Bupropion HCl,17,1,23,8,8,5,24,10
Prochlorperazine Maleate,17,1,0,0,2,0,1,10
Kaopectate/Benadryl/Lido Visc.,17,0,14,10,0,1,6,12
Apraclonidine 0.5%,16,20,41,2,1,0,13,4
D20W,16,14,22,2,0,6,6,3
Testosterone 2.5mg Patch,16,13,6,8,0,7,11,13
Penicillin V Potassium,16,12,26,6,4,0,32,10
Pulmozyme,16,10,16,3,2,5,17,4
MetFORMIN XR (Glucophage XR),16,9,119,13,13,8,83,2
Lovastatin,16,8,33,4,5,2,46,11
Dexamethasone Ophthalmic Soln 0.1%,16,8,20,5,0,0,24,7
Methylene Blue,16,7,7,4,0,5,6,6
Pletal,16,6,31,4,3,0,13,1
Betamethasone Dipro 0.05% Cream,16,6,14,4,1,2,19,7
Heparin Lock Flush,16,6,11,4,1,1,15,7
Trandolapril,16,5,45,9,4,1,61,13
Carbidopa-Levodopa (10-100),16,5,14,8,2,1,18,3
Albumin ,16,5,6,2,2,11,8,6
Ketamine HCl,16,4,20,0,16,0,17,8
Activated Charcoal-Sorbitol,16,4,5,1,1,1,14,0
Papain-Urea Spray,16,2,15,4,1,0,7,4
IDArubicin,16,2,12,0,0,2,19,11
Alemtuzumab,16,2,9,0,1,0,13,4
Valtrex,16,2,8,2,0,3,21,8
Dextroamphetamine,16,1,13,6,1,3,8,2
Ciprofloxacin Ophth Soln,16,1,8,0,2,3,18,6
D15W,16,1,1,0,0,0,3,1
Tretinoin (ATRA-All Transretinoic Acid),16,0,15,6,0,7,25,17
Etravirine,15,21,11,1,1,6,9,5
Glimepiride,15,16,65,11,9,1,39,3
Ziprasidone Hydrochloride,15,16,21,2,8,0,21,2
Mexiletine HCl,15,16,14,5,2,1,18,11
Vancomycin Desensitization,15,15,11,0,0,8,12,0
Methyldopa,15,13,9,7,7,0,15,10
Disopyramide CR,15,10,13,2,3,2,25,3
Dronedarone,15,10,13,0,2,11,29,3
Valganciclovir HCl Suspension,15,9,34,2,0,36,21,5
Isosorbide Dinitrate SA,15,8,23,9,3,0,19,2
rocuronium,15,7,10,1,4,4,18,4
Humalog,15,6,65,6,3,7,20,10
Pentobarbital Sodium,15,5,8,0,8,18,35,31
Comtan,15,5,2,9,4,0,19,3
LevoFLOXacin,15,5,2,0,0,3,12,2
Epinephrine Inhalation,15,4,21,16,7,4,21,8
N-Acetylcysteine Study Drug,15,4,20,0,10,8,22,2
Nexium,15,3,6,2,1,2,26,1
VinCRIStine,15,3,3,7,0,0,9,7
Sargramostim,15,2,0,0,0,0,5,15
Fludarabine Phosphate,15,1,3,1,0,0,10,4
Hydromorphone-HP,15,0,39,0,5,1,28,25
Intralipid 20%,15,0,2,3,0,0,4,0
Piperacillin,15,0,1,0,0,3,2,3
Glucose Tab,14,24,50,3,1,2,8,7
Methocarbamol,14,20,48,5,20,5,70,5
Amaryl,14,16,81,6,6,1,44,8
Febuxostat,14,15,5,2,1,9,3,2
Scopolamine 0.25% Ophth Soln,14,11,23,6,0,0,7,5
Sorbitol,14,9,17,7,1,1,13,6
Exelon,14,9,16,7,0,0,34,0
sodium bica,14,8,10,3,1,1,4,4
CeftriaXONE Desensitization,14,7,45,7,16,7,46,14
Phenylephrine 2.5 % Ophth Soln,14,7,6,1,4,3,11,2
Morphine Sulfate ,14,6,10,2,3,2,6,4
Rasburicase,14,6,7,1,1,1,5,6
Enfuvirtide,14,6,0,0,7,10,2,0
MetronidAZOLE Topical 1 % Gel,14,5,11,2,0,1,6,5
Potassium Acetate,14,5,6,0,0,3,9,9
Azopt,14,4,13,6,1,3,25,2
Potassium Bicarbonate Eff,14,4,4,2,1,3,6,5
Tropicamide 1 %,14,4,1,1,3,2,12,3
Cimetidine,14,3,10,1,9,4,16,5
Clindamycin HCl,14,2,9,11,5,4,19,5
Ondansetron HCl,14,1,5,6,2,2,8,3
Ifosfamide,14,1,3,1,0,0,5,5
Isoproterenol HCl,14,0,10,0,0,0,14,0
Asparaginase,14,0,1,0,1,0,7,0
Defibrotide (IND),14,0,1,0,0,0,0,0
Cyproheptadine,14,0,0,0,2,7,8,3
Fenofibrate,13,16,34,5,5,7,27,1
Morphine,13,14,6,2,2,0,1,3
Itraconazole,13,14,6,0,2,0,2,10
Propranolol LA,13,13,29,3,4,17,32,6
Fluticasone Propionate Nasal,13,12,21,6,15,3,28,10
Codeine Phosphate,13,9,40,3,21,17,61,19
HumaLOG,13,9,29,4,0,5,13,3
Liothyronine Sodium,13,9,23,2,3,4,23,8
Chlorpheniramine-Hydrocodone,13,8,9,1,8,3,23,9
Posaconazole,13,8,4,0,0,1,3,0
Desipramine HCl,13,6,43,5,7,1,24,7
Celebrex,13,6,26,6,7,5,42,6
Propylthiouracil,13,6,14,0,5,2,12,4
Naphazoline-Pheniramine Ophth. Solution,13,6,11,2,8,2,17,9
Aprepitant,13,5,12,0,3,10,32,7
0.9% Sodium Chloride (EXCEL BAG),13,5,10,3,0,4,11,6
Nicotine Lozenge,13,5,9,9,7,3,16,8
Megestrol ,13,5,7,2,2,1,13,7
Lidocaine 0.5%/Epinephrine,13,5,6,9,1,10,11,5
Claritin,13,5,5,4,7,4,19,3
Bupivacaine 0.05%,13,4,15,0,4,3,23,5
Risperidone Oral Solution,13,4,6,9,0,7,13,6
Leuprolide Acetate,13,4,3,0,3,0,5,4
Tirofiban,13,3,51,167,5,0,84,0
Cipro,13,3,2,6,0,6,2,2
Nicotine Polacrilex,13,2,22,9,7,13,43,12
Fluvoxamine Maleate,13,2,21,4,7,1,16,5
Esmolol in Saline (Iso-osm),13,2,13,1,8,0,11,3
Viokase,13,1,20,2,3,3,6,3
Lidocaine 2% P.f.,13,1,3,0,2,0,8,7
Vincristine Sulfate,13,0,2,0,1,0,3,6
Alum Potassium,13,0,2,0,0,0,6,0
Terlipressin Study Drug (*IND*),13,0,0,0,0,15,0,1
Didanosine Chewable Tab,13,0,0,0,0,1,1,12
Methazolamide,12,13,37,16,2,0,18,13
Fosamprenavir,12,13,5,7,10,11,21,8
Tobramycin-Dexamethasone Ophth Susp,12,11,19,3,2,0,10,4
Azathioprine Sodium,12,10,21,2,1,5,18,1
Benicar,12,9,25,9,2,0,46,4
Imipramine,12,9,14,8,2,0,28,1
PrismaSol  (B32 K0),12,9,11,6,3,6,8,2
Aveeno Bath,12,9,5,4,1,2,7,7
Pilocarpine 1%,12,8,18,8,8,0,22,5
beclomethasone dipropionate,12,7,7,5,8,0,15,3
Candesartan,12,5,10,1,3,0,11,4
moxifloxacin,12,5,7,1,0,3,9,5
Levalbuterol Tartrate,12,4,2,1,3,3,8,5
Bisacodyl (Rectal),12,3,10,7,2,1,17,7
Fosinopril,12,3,10,1,0,0,14,1
Sodium Chloride 0.9%,12,3,3,2,1,1,4,5
Potassium Iodide,12,3,1,0,3,0,10,2
Minocycline HCl,12,2,13,2,1,0,8,3
DAUNOrubicin,12,2,4,1,1,0,9,9
*NF* Pentostatin,12,2,3,0,0,0,3,3
Vioxx,12,1,15,15,8,2,22,1
KCl,12,0,15,10,6,3,30,11
Peramivir,12,0,12,0,3,3,12,3
Clopidogrel Desensitization,12,0,11,11,0,0,24,0
Hydromorphone HCl,12,0,1,0,3,0,1,3
*NF* Fenoldopam Mesylate,12,0,1,0,0,0,3,7
Indinavir Sulfate,11,16,37,1,0,0,2,13
ranolazine,11,15,19,10,1,0,4,3
Ticlopidine HCl,11,10,26,25,0,0,32,2
Hydrocortisone Acetate Suppository,11,9,4,4,0,9,11,6
Travatan Z,11,8,9,2,3,0,12,2
Testosterone 5mg Patch,11,6,18,2,6,10,18,7
Bacitracin Ophthalmic Oint,11,6,15,7,2,1,15,0
Ketoconazole,11,6,12,2,1,1,14,7
Ketamine Study Drug (*IND*),11,6,10,1,1,5,8,3
Misoprostol,11,6,7,3,6,3,23,6
Emtricitabine-Tenofovir,11,5,8,2,2,5,10,3
Ivermectin,11,5,6,2,2,5,9,6
budesonide,11,5,3,1,8,0,13,3
Pancrelipase 4500,11,5,1,0,1,3,5,5
Interferon Alfacon-1,11,2,8,0,0,1,7,1
Albumin,11,2,1,0,0,10,7,10
Buspirone,11,1,25,17,8,1,30,13
Buprenorphine-Naloxone (8mg-2mg),11,1,10,0,9,6,5,3
Vancomycin 25mg/mL Ophth Soln,11,1,5,0,0,0,11,5
Santyl,11,1,4,5,0,0,0,1
CISplatin,11,1,4,0,2,0,22,9
MBL-HCV1 study med (*IND*),11,0,22,0,11,22,11,0
Pancrease,11,0,20,0,1,11,4,10
Etanercept,11,0,9,1,0,0,7,0
Anusol Ointment 1%,11,0,6,3,3,5,5,1
*NF* Gelclair,11,0,1,0,0,0,1,3
Peg-Intron,11,0,0,0,0,0,3,8
Normocarb Dialysate,11,0,0,0,0,0,0,0
Irbesartan,10,30,45,5,0,0,45,6
NiCARdipine,10,26,2,2,5,0,50,8
Hemorrhoidal Suppository,10,14,27,2,6,7,22,7
Adefovir,10,10,6,0,1,7,0,3
Travatan,10,9,31,15,3,2,31,7
rivastigmine,10,8,2,0,0,0,3,3
Augmentin Suspension,10,7,25,0,4,1,25,4
Aspirin-Caffeine-Butalbital,10,7,12,0,8,2,20,3
Loratadine,10,7,7,3,10,1,20,4
Ketamine (For Intubation),10,6,3,2,2,4,10,4
Valacyclovir,10,5,13,2,4,0,19,4
Ritonavir (Oral Solution),10,5,5,0,6,3,4,4
Morphine Infusion ? Comfort Care Guidelines,10,5,2,1,0,3,6,8
Famciclovir,10,3,9,0,1,5,3,3
Quinupristin/Dalfopristin,10,3,5,0,0,0,2,5
Medium Chain Triglycerides,10,2,11,0,5,10,12,7
Lidocaine 1% P.f.,10,2,4,3,1,3,10,3
Domeboro,10,2,4,1,1,1,5,0
Rifabutin,10,2,1,0,0,2,3,1
Bupropion SR,10,1,19,9,8,0,14,5
*NF* Nicardipine HCl IV,10,0,20,0,0,0,40,5
Fluorouracil,10,0,8,0,5,0,28,10
Amantadine Syrup,10,0,6,4,0,0,13,2
*NF* Caspofungin Acetate,10,0,0,8,0,0,0,0
Syringe (Neonatal) *NS*,10,0,0,0,0,0,32,45
Doxacurium Chloride,10,0,0,0,0,0,0,0
DiCYCLOmine,9,21,36,7,6,2,33,3
Becaplermin Gel 0.01%,9,9,25,1,2,0,9,8
Bottle,9,9,17,4,1,4,10,2
Pilocarpine 4%,9,9,14,5,4,0,25,7
Isosorbide ,9,8,19,2,0,0,11,4
Acebutolol HCl,9,8,15,11,2,2,26,8
Anastrozole,9,7,8,2,5,0,7,3
Benazepril,9,7,6,1,1,2,8,6
Betaxolol Ophth Susp  0.25%,9,5,14,2,5,2,18,6
Lorazepam 2mg syringe,9,4,9,1,0,3,5,2
Hydrocortisone Oint 2.5%,9,3,8,2,3,1,8,1
PACLItaxel (TaxOL),9,3,2,0,0,1,16,18
Trifluoperazine HCl,9,2,14,0,0,8,7,6
Methylphenidate SR,9,2,9,3,9,1,19,8
Fosaprepitant,9,2,3,0,1,0,6,2
Palivizumab,9,2,3,0,0,0,8,3
Melphalan,9,2,0,1,0,0,2,1
Betaxolol Hcl  0.25%,9,1,20,4,5,1,28,5
Decitabine,9,1,5,0,0,0,10,8
Hydrocortisone Oint 0.5%,9,1,4,1,0,3,6,4
Syringe (Neonatal),9,1,1,0,0,0,78,68
Mitoxantrone,9,1,0,0,2,0,7,6
Send 500mg Vial,9,1,0,0,0,0,18,28
Estradiol,9,0,12,1,2,2,20,5
Quinidine Gluconate,9,0,5,3,0,2,5,2
Infliximab,9,0,2,2,1,1,9,1
Morphine PCA,9,0,1,1,0,0,4,3
*NF* Allopurinol Sodium,9,0,0,0,2,0,1,1
prednisoLONE,9,0,0,0,0,6,8,3
Prevident Mint Gel 1.1%,9,0,0,0,0,0,0,0
Sodium Thiosulfate,8,36,27,0,7,7,3,2
Restasis,8,14,33,4,4,3,25,6
Niaspan,8,10,28,6,1,0,33,3
Hepatitis B Immun Globulin (HepaGam B),8,8,7,0,2,11,3,0
Tetracycline HCl,8,8,6,2,0,8,11,3
Streptomycin Sulfate,8,8,1,2,4,0,14,2
Evista,8,6,17,1,4,1,49,6
Calcipotriene 0.005% Cream,8,6,14,2,5,6,11,0
Fluocinonide 0.05% Ointment,8,6,11,5,2,2,14,2
quiniDINE Sulfate,8,6,8,0,1,0,18,3
Arava,8,6,5,2,1,0,5,0
Cortrosyn,8,5,10,5,3,0,5,2
Rimantadine,8,5,5,1,2,0,4,3
Atropine Sulfate 1%,8,5,4,1,1,1,2,4
Acyclovir Sodium,8,5,3,0,0,2,2,4
Acetaminophen (Rectal),8,4,21,4,3,4,25,1
Bismuth Subsalicylate Chewable,8,4,11,5,1,2,10,6
Hydrocodone-Acetaminophen (5mg-500mg,8,4,11,3,10,1,29,6
Trihexyphenidyl HCl,8,4,9,0,0,1,11,1
Morphine ,8,4,8,2,3,0,10,4
Phenylephrine  0.5% Nasal Spray,8,4,8,1,3,8,5,2
Tetanus-DiphTox-Acellular Pertuss (Adacel),8,4,4,1,1,4,8,1
Megestrol,8,4,4,1,1,0,3,5
Emtricitabine Oral Solution,8,4,1,0,1,6,8,11
Acular,8,3,19,11,2,1,20,4
SulfaSALAzine,8,3,19,4,4,0,13,2
Famotidine (PO),8,3,9,1,1,2,16,4
Bupivacaine 0.25%,8,3,9,0,10,4,6,7
Zymar,8,2,8,7,0,0,14,1
Candida Skin Test,8,2,3,0,0,2,6,4
Muro 128,8,2,2,0,0,0,8,6
Adderall,8,1,13,1,8,0,13,3
Aminophylline,8,1,7,2,18,0,28,10
Lipid Emulsion 20%,8,1,4,1,1,5,8,4
Thiothixene,8,0,11,0,4,0,17,7
Metoclopramide HCl,8,0,8,1,5,1,6,6
Kaolin-Pectin/Benadryl/Lido Visc.,8,0,8,0,0,1,3,6
Copaxone,8,0,5,0,1,1,7,0
Lopinavir-Ritonavir (Oral Soln),8,0,5,0,0,3,8,3
Cidofovir,8,0,0,3,1,0,5,3
NEO*IV*Gentamicin,8,0,0,0,0,0,29,50
Atgam,8,0,0,0,0,0,11,0
Nelarabine (NF),8,0,0,0,0,0,8,0
anakinra,8,0,0,0,0,0,0,0
Basiliximab,7,13,7,2,0,12,3,0
Minocycline,7,9,13,0,3,0,9,0
Olmesartan,7,7,7,1,2,0,14,3
Lithium Citrate (Syrup),7,7,3,0,1,1,10,3
Carbamazepine XR,7,6,14,4,7,4,33,4
Nateglinide,7,6,10,0,2,2,4,2
Piroxicam,7,6,6,3,5,0,12,3
Clotrimazole 1% Vaginal Crm,7,6,5,2,1,4,3,1
*NF* Arginine HCl,7,5,1,2,1,0,1,1
Lithium Carbonate SR (Lithobid),7,4,8,0,1,6,7,0
Gleevec,7,4,6,1,0,0,5,1
Thyroid,7,4,4,6,4,0,24,4
Hydrocortisone Val. Cream 0.2%,7,4,2,1,0,11,6,2
ValGANCIclov,7,4,0,0,0,10,2,3
Talc,7,3,10,0,1,1,2,3
Albumin 5,7,3,4,0,0,7,4,1
Didanosine EC,7,3,3,2,8,2,7,5
Latanoprost,7,3,3,2,1,1,3,1
Caffeine-Sodium Benzoate,7,3,0,0,5,1,12,4
Hyoscyamine SO4 (Time Release),7,2,26,0,11,0,17,2
Nitroglycerin SR,7,2,15,1,0,0,3,0
Tobramycin 0.3% Ophth Soln,7,2,9,5,0,2,10,5
Aluminum Hydroxide,7,2,6,1,1,1,0,2
Imodium,7,2,4,0,0,0,4,0
Anidulafungin,7,1,12,0,0,0,8,1
Orange Oil,7,1,9,2,0,5,14,2
Trimethoprim,7,1,7,2,1,4,8,2
Aprotinin (Bovine),7,1,5,7,1,0,16,0
Charcoal Aqueous (Activated),7,1,4,1,1,0,4,0
Lidocaine 2%/Epinephrine,7,1,3,2,0,3,10,5
Triamcinolone Acetonide 0.025% Ointment,7,1,3,1,1,2,6,0
Entecavir Oral Solution,7,1,2,0,0,5,3,0
sodium bicarbonate,7,1,1,0,2,0,6,1
Esomeprazole Magnesium,7,1,0,1,3,0,5,0
Chlorpromazine,7,0,13,4,1,3,14,1
Primidone,7,0,12,6,1,6,27,4
Docusate Sodi,7,0,8,2,0,0,7,0
Halcion,7,0,8,0,0,0,13,0
Cefazolin Desensitization,7,0,7,0,7,7,7,0
Betaseron,7,0,7,0,1,0,7,1
CefTAZidime Desensitization,7,0,7,0,0,0,7,0
PFNS (Syringe),7,0,4,0,2,0,15,2
SulfADIAzine,7,0,3,0,4,0,5,3
Tobramycin,7,0,3,0,1,1,2,3
L-Hyoscyamine,7,0,2,2,0,1,3,1
Buprenorphine,7,0,0,0,0,7,0,0
Defibrotide (*IND*),7,0,0,0,0,0,3,0
Syringe (Intraperitoneal),6,73,140,5,8,0,17,19
Syringe (PD),6,31,26,14,8,0,5,8
Aspirin ,6,14,24,12,23,0,35,0
Ranexa,6,13,13,6,2,0,11,4
Zosyn Desensitization,6,12,13,0,13,7,0,7
Pancrease MT 16,6,8,16,4,3,4,11,3
Travoprost,6,7,6,1,1,0,12,3
Sulfameth/Trimethoprim ,6,7,5,0,0,5,4,2
Ceftriaxone Desensitization,6,6,13,0,0,0,6,0
modafinil,6,6,12,3,4,6,15,3
Delavirdine Mesylate,6,6,1,0,0,8,0,1
Ziprasidone Mesylate,6,5,9,1,1,0,6,2
Lidocaine 1% PF,6,5,6,0,0,2,6,1
Morphine Sulfate (Syringe),6,5,5,1,2,2,4,0
Fluocinolone Acetonide 0.025% Cream,6,5,3,0,2,1,4,1
Simvastatin or Placebo,6,5,2,1,0,0,2,1
Docusat,6,5,2,0,4,2,6,0
galantamine,6,5,2,0,0,0,1,1
Lotensin,6,5,1,0,0,0,5,6
Pseudoephedrine,6,4,15,3,10,3,20,6
Famvir,6,4,2,0,0,3,9,7
*NF* Imatinib Mesylate,6,4,0,0,0,0,8,0
Tipranavir,6,4,0,0,0,0,0,4
Acetic Acid 0.25% Irrig. Soln,6,3,11,1,1,0,5,3
acetylcysteine,6,3,10,1,3,3,11,4
Albuterol 0.5%,6,3,6,1,16,2,12,2
benazepril,6,3,6,0,5,0,16,3
23.4% Sodium Chloride,6,3,4,0,0,2,4,2
Hepar,6,3,3,1,2,1,2,1
Adderall XR,6,2,14,0,3,4,9,2
Hydrocortisone Oint 1%,6,2,11,1,2,6,13,2
Doripenem *NF*,6,2,6,3,0,0,2,6
Belladonna & Opium (16.2/30mg),6,2,3,0,0,0,6,0
Fluocinolone Acetonide 0.01% Solution,6,2,1,0,0,2,0,1
Meperidine PF,6,1,14,2,2,6,20,5
Pilocarpine 2%,6,1,10,3,0,0,10,2
ACD-A 3% Flush,6,1,3,0,0,0,2,1
Mult,6,1,2,0,0,6,7,1
Tobramycin Fortified Ophth. Soln.,6,1,2,0,0,0,8,0
Viagra,6,1,2,0,0,0,5,2
Triamterene,6,1,1,4,2,1,21,2
GammaGARD Liquid,6,1,1,0,4,2,2,2
Syringe (Neonatal) *SW*,6,1,0,0,0,0,7,16
Ketoconazole Shampoo,6,0,11,1,2,6,10,3
Xopenex HFA,6,0,7,5,9,2,17,2
Gentamicin Sulf. Ophth. Soln,6,0,6,4,0,0,5,6
Estraderm,6,0,6,0,0,0,6,6
Mercaptopurine,6,0,5,7,1,4,15,1
Theophylline (Slo-bid) Capsule,6,0,5,1,5,1,15,7
Kaolin/Pectin,6,0,4,1,0,1,3,1
Kaolin-Pectin,6,0,3,1,1,1,4,1
Chloral Hydrate,6,0,2,2,0,2,5,1
Theophylline,6,0,1,0,4,0,1,7
Permethrin,6,0,1,0,2,2,3,3
Amicar,6,0,1,0,2,1,0,2
Hydromorphone PCA,6,0,1,0,2,0,0,2
Hepatitis A Vaccine,6,0,1,0,1,12,5,1
Mechlorethamine,6,0,1,0,1,0,3,1
Fluocinolone Acetonide 0.01% Cream,6,0,0,0,0,1,2,1
tobramycin,6,0,0,0,0,0,6,0
NEO*IV*AMPicillin Sodium,6,0,0,0,0,0,4,2
quiniDINE Gluconate,6,0,0,0,0,0,0,0
Cytarabine Liposome,6,0,0,0,0,0,0,0
Leflunomide,5,9,9,2,3,0,9,3
bimatoprost,5,8,5,3,0,1,6,1
Amoxicillin-Clavulanate Susp.,5,7,7,0,2,0,5,2
Januvia,5,6,17,5,2,3,9,3
Salsalate,5,6,14,3,3,0,16,6
Femara,5,6,9,2,0,2,5,1
PARCOPA,5,6,8,1,0,0,0,0
Acarbose,5,5,19,2,2,0,13,3
Mesalamine (Rectal),5,5,10,2,5,4,14,0
Potassium Chloride ,5,5,5,2,0,1,0,0
Isosorbide Dinitrate ER,5,5,5,0,0,0,1,5
NS (IRRIGATION BOTTLE),5,5,4,2,0,6,6,3
Imatinib,5,5,0,0,0,0,0,0
Tolcapone,5,5,0,0,0,0,0,0
Rofecoxib,5,4,14,1,5,1,19,4
Theophylline ER (Uniphyl),5,4,10,1,6,0,13,3
Clobetasol Propionate 0.05% Soln,5,4,4,0,3,0,4,2
Lidocaine ,5,4,3,3,0,4,5,1
Hexavitamin,5,4,2,0,2,4,2,1
Rivastigmine,5,4,1,1,0,0,9,1
Prilosec,5,3,21,7,5,0,15,3
Cromolyn Sodium (Nasal Inhalation),5,3,9,2,2,3,6,2
Galantamine,5,3,6,0,0,0,8,0
Neomycin-Polymyxin-HC Otic Susp,5,3,5,2,0,0,5,2
Donnatol,5,3,4,1,1,4,5,1
Moxifloxacin,5,3,3,1,0,2,12,7
Gammagard S/D,5,3,3,0,9,1,3,7
Requip XL,5,3,3,0,0,0,0,2
Multiv,5,3,2,0,1,2,3,0
Ethanol 70% Catheter DWELL,5,3,0,0,3,0,1,0
Praziquantel,5,3,0,0,0,2,3,0
Pilocarpine 0.5%,5,2,18,3,0,0,16,3
Clorazepate Dipotassium,5,2,12,2,5,1,19,1
Betamethasone Dipro 0.05% Oint,5,2,4,5,1,0,8,3
Zyrtec,5,2,4,2,6,0,10,0
Urea,5,2,4,0,0,0,0,0
Entocort EC,5,2,2,4,0,0,7,0
simvastatin or placebo,5,2,2,2,3,0,2,0
Imipramine HCl,5,1,14,3,2,0,33,5
Lamivudine-Zidovudine (Combivir),5,1,11,3,0,2,5,1
Tetanus-Diphtheria Toxoids-Td,5,1,7,1,2,3,9,7
Guaifenesin ER,5,1,7,0,0,0,5,7
Prednisolone Acetate 0.12% Ophth. Susp.,5,1,6,2,2,0,4,2
Docusate Sodium-Casanthranol,5,1,6,2,1,0,4,1
Heparin Flush ,5,1,6,1,0,1,4,0
Levocarnitine,5,1,5,1,6,5,11,0
Letrozole,5,1,5,0,1,0,6,1
Milk Of Magnesia,5,1,4,2,1,0,4,2
Sulfadiazine,5,1,4,0,2,0,0,1
Erythromycin Ethylsuccinate Suspension,5,1,3,1,2,3,9,0
Sodium Fluoride 1.1% (Dental Gel),5,1,1,0,0,0,3,0
Lactaid,5,1,0,0,0,0,2,1
NEO*IV*Cefotaxime,5,1,0,0,0,0,1,7
Diovan,5,0,27,4,1,0,23,3
Tiagabine HCl,5,0,10,0,2,0,6,2
Celecoxib,5,0,7,3,4,0,11,2
Fluorometholone 0.1% Ophth Susp.,5,0,6,4,1,4,8,3
Triamcinolone 0.1% Cream,5,0,4,1,0,3,3,4
Calcium Carbonate (Tums),5,0,3,2,2,0,4,3
Pancuronium Bromide,5,0,3,1,2,1,1,3
Colesevelam,5,0,3,0,2,0,8,0
Idarubicin HCl,5,0,3,0,1,0,4,4
Doxorubicin,5,0,3,0,0,0,5,6
Prednisolone,5,0,2,0,0,2,3,0
Paliperidone ER,5,0,1,6,0,1,9,0
GlycoLax,5,0,1,0,2,0,2,3
Sulfameth/Trimet,5,0,1,0,0,5,0,0
*NF* Interferon Alfacon-1,5,0,1,0,0,4,0,4
Aminocaproic,5,0,1,0,0,3,2,0
Cefuroxime Sodium,5,0,1,0,0,1,2,2
Coenzyme Q10 Study Drug,5,0,0,4,0,0,8,0
Paclitaxel,5,0,0,2,0,1,6,10
Levalbuterol (Xopenex),5,0,0,1,0,0,3,0
Oxandrolone,5,0,0,0,1,1,3,1
Colistimethate Sodium,5,0,0,0,0,5,0,0
Mitoxantrone HCl,5,0,0,0,0,1,8,0
NEO*IV*Fentanyl,5,0,0,0,0,0,12,18
Deferoxamine Mesylate,5,0,0,0,0,0,7,0
Prograf Suspension,5,0,0,0,0,0,5,5
Ribavirin Aerosol,5,0,0,0,0,0,3,0
Cisplatin,5,0,0,0,0,0,2,5
Amphotericin B Oral Suspension,5,0,0,0,0,0,0,4
*NF* Esomeprazole,5,0,0,0,0,0,0,3
*NF* Budesonide,5,0,0,0,0,0,0,1
Roxanol,5,0,0,0,0,0,0,0
NEO*IV*Hydrocortisone Sod Succinate,5,0,0,0,0,0,0,0
Triazolam,4,11,13,4,0,0,11,3
cycloSPORINE,4,10,19,4,1,0,1,1
Ergocalciferol (Vitamin D2),4,7,1,0,0,1,2,1
Torsemide ,4,5,4,0,0,0,0,0
Sulfame,4,5,1,4,0,9,0,0
Mycophenolate ,4,5,0,0,0,4,1,0
Povidone Iodine 1/4 Strength,4,4,21,1,1,1,9,3
Fenofibrate Micronized,4,4,12,0,2,2,2,0
Byetta,4,4,10,1,2,0,5,2
Bimatoprost,4,4,6,3,1,0,8,2
Tropicamide 0.5%,4,4,5,1,0,1,3,0
Dacarbazine,4,4,5,0,1,0,3,2
VinBLAStine (Velban),4,4,4,1,0,0,1,1
leflunomide,4,4,4,0,5,0,3,1
ketorolac,4,4,3,1,0,0,0,0
